From [,) To,BucketLength,DailyRate,BucketRate
2023-03-09,2023-03-23,14,0.0455,0.04553739841789512
2023-03-23,2023-04-01,9,0.04945077506668424,0.049477954656662604
2023-04-01,2023-05-01,30,0.04942423324356668,0.04952274816904634
2023-05-01,2023-05-04,3,0.04942423324356668,0.049431018984185116
2023-05-04,2023-06-01,28,0.05266349412861433,0.052767630243810704
2023-06-01,2023-06-15,14,0.05266349412861433,0.05271359950766552
2023-06-15,2023-07-01,16,0.05451981028452097,0.0545817792733555
2023-07-01,2023-07-27,26,0.05451981028452097,0.05462314410669988
2023-07-27,2023-08-01,5,0.05473668316764284,0.05475333072354793
2023-08-01,2023-09-01,31,0.055012432723358415,0.055138717850341266
2023-09-01,2023-09-21,20,0.055012432723358415,0.05509236847717558
2023-09-21,2023-10-01,10,0.05515304153002702,0.05519108029314079
2023-10-01,2023-11-01,31,0.05523504672897189,0.055362356739392674
2023-11-01,2023-11-02,1,0.05523504672897189,0.055235046729000814
2023-11-02,2023-12-01,29,0.054669481147276856,0.05478586941003082
2023-12-01,2023-12-14,13,0.054669481147276856,0.05471932143050955
2023-12-14,2024-01-01,18,0.053557043289727525,0.05362482214853248
2024-01-01,2024-02-01,31,0.05362241379310348,0.053742393280797884
2024-02-01,2024-03-01,29,0.0521934782608696,0.0522995561484343
2024-03-01,2024-03-20,19,0.05214110240705949,0.05220912558688945
2024-03-20,2024-04-01,12,0.05048492118882262,0.05052387828546667
2024-04-01,2024-06-19,79,0.04894178949078842,0.049202187991837884
2024-06-19,2024-09-18,91,0.044595349303904186,0.04484485852311948
2024-09-18,2024-12-18,91,0.040613584033204475,0.040820458715596614
2024-12-18,2025-03-19,91,0.037827931879137466,0.038007359813084604
2025-03-19,2025-06-18,91,0.036136502527037706,0.036300220541903176
2025-06-18,2025-09-17,91,0.03522729087155341,0.03538286240786253
2025-09-17,2025-12-17,91,0.034549367845677637,0.03469900090826519
2025-12-17,2026-03-18,91,0.03397274966775221,0.03411742286751339
2026-03-18,2026-06-17,91,0.03359991406280294,0.0337414248871696
2026-06-17,2026-09-16,91,0.0333657979370372,0.033505340909091116
2026-09-16,2026-12-16,91,0.033148187586178324,0.03328591383372602
2026-12-16,2027-03-17,91,0.03303412681103346,0.03317090558766888
2027-03-17,2027-06-16,91,0.032940760653588086,0.0330767663043481
2027-06-16,2027-09-15,91,0.033000995818683876,0.033137499999999626
2027-09-15,2027-12-15,91,0.033218097106670896,0.033356405693950195
2027-12-15,2028-03-15,91,0.033504530679371314,0.033645238095237805
2028-03-15,2028-06-21,98,0.03373410551715139,0.033887878787878856
2028-06-21,2028-09-20,91,0.033981567374077315,0.03412631578947353
2028-09-20,2028-12-20,91,0.03421884522840202,0.034365624999999726
2028-12-20,2029-03-21,91,0.03464949711879051,0.034800000000000476
