From [,) To,BucketLength,DailyRate,BucketRate
2023-04-20,2023-05-01,11,0.04802316980112695,0.04805521352360241
2023-05-01,2023-05-04,3,0.04802316980112695,0.04802957626607096
2023-05-04,2023-06-01,28,0.05022990138612614,0.05032463000919624
2023-06-01,2023-06-15,14,0.05022990138612614,0.050275481763460174
2023-06-15,2023-07-01,16,0.050826027745754926,0.0508798816601147
2023-07-01,2023-07-27,26,0.050826027745754926,0.05091582653748505
2023-07-27,2023-08-01,5,0.05055839595644986,0.0505725987920691
2023-08-01,2023-09-01,31,0.050398615203299926,0.050504592752722136
2023-09-01,2023-09-21,20,0.050398615203299926,0.05046569985557836
2023-09-21,2023-10-01,10,0.049337328416929435,0.04936776668927933
2023-10-01,2023-11-01,31,0.049233024691358054,0.049334153781740185
2023-11-01,2023-11-02,1,0.049233024691358054,0.04923302469138413
2023-11-02,2023-12-01,29,0.0473867120595602,0.047474140617930934
2023-12-01,2023-12-14,13,0.0473867120595602,0.04742415513640493
2023-12-14,2024-01-01,18,0.04570541695169317,0.04575477362546376
2024-01-01,2024-02-01,31,0.04559583333333336,0.04568256365163899
2024-02-01,2024-03-01,29,0.043572093023255716,0.04364600512834857
2024-03-01,2024-03-20,19,0.04337513395186399,0.04342220113700703
2024-03-20,2024-04-01,12,0.04181671499288229,0.041843440636988305
2024-04-01,2024-05-01,30,0.041309090909091,0.04137789622713939
2024-05-01,2024-06-19,49,0.03859362440500114,0.03869308924154294
2024-06-19,2024-09-18,91,0.035884171312954294,0.036045607553365985
2024-09-18,2024-12-18,91,0.03291408053603284,0.03304986566362214
2024-12-18,2025-03-19,91,0.031144333992960682,0.03126589195979938
2025-03-19,2025-06-18,91,0.03027886984757089,0.030393757575757182
2025-06-18,2025-09-17,91,0.029833541962203114,0.02994507101086062
2025-09-17,2025-12-17,91,0.02954147533731799,0.029650828729281577
2025-12-17,2026-03-18,91,0.029356517521215153,0.029464504238849866
2026-03-18,2026-06-17,91,0.029407527407929734,0.029515890183028297
2026-06-17,2026-09-16,91,0.029483346384466813,0.029592269326683344
2026-09-16,2026-12-16,91,0.02966226449327536,0.029772515060241367
2026-12-16,2027-03-17,91,0.02979628393505962,0.02990753424657563
2027-03-17,2027-06-16,91,0.030045010817589812,0.030158128544423585
2027-06-16,2027-09-15,91,0.030278890227908306,0.030393778110944795
2027-09-15,2027-12-15,91,0.030677855925826947,0.03079579524680093
2027-12-15,2028-03-15,91,0.030944248903344018,0.031064248021108277
2028-03-15,2028-06-21,98,0.0312155923568902,0.03134723247232464
2028-06-21,2028-09-20,91,0.031515893156637276,0.03164037267080707
2028-09-20,2028-12-20,91,0.03179827685658054,0.031925000000000196
2028-12-20,2029-03-21,91,0.03221280405123039,0.03234285714285733
2029-03-21,2029-06-19,90,0.03283305550966453,0.03296666666666681
