From [,) To,BucketLength,DailyRate,BucketRate
2023-02-16,2023-03-01,13,0.04552497623065121,0.04555953430983874
2023-03-01,2023-03-23,22,0.04552497623065121,0.045585475823688236
2023-03-23,2023-04-01,9,0.04840046961042607,0.04842650672706838
2023-04-01,2023-05-01,30,0.048338403746893445,0.04843263490504235
2023-05-01,2023-05-04,3,0.048338403746893445,0.04834489459647706
2023-05-04,2023-06-01,28,0.05044898622102128,0.050544543495117784
2023-06-01,2023-06-15,14,0.05044898622102128,0.05049496518799237
2023-06-15,2023-07-01,16,0.05191957541952537,0.05197577244898055
2023-07-01,2023-07-27,26,0.05191957541952537,0.05201328219170281
2023-07-27,2023-08-01,5,0.05258056845164179,0.05259593022952024
2023-08-01,2023-09-01,31,0.05238886792452845,0.05250338702213858
2023-09-01,2023-09-21,20,0.05238886792452845,0.05246135797538009
2023-09-21,2023-10-01,10,0.05222496502872844,0.05225907130817121
2023-10-01,2023-11-01,31,0.05238975225225232,0.05250427521880319
2023-11-01,2023-11-02,1,0.05238975225225232,0.052389752252253174
2023-11-02,2023-12-01,29,0.051779151595261946,0.05188355093260038
2023-12-01,2023-12-14,13,0.051779151595261946,0.051823859845214586
2023-12-14,2024-01-01,18,0.05076090577704853,0.05082178958341732
2024-01-01,2024-02-01,31,0.050640206185566965,0.050747202893447654
2024-02-01,2024-03-01,29,0.04905689655172409,0.049150600620519014
2024-03-01,2024-03-20,19,0.04889364202109725,0.048953452748125195
2024-03-20,2024-06-19,91,0.04584983462608605,0.046113606194689884
2024-06-19,2024-09-18,91,0.041533821106147784,0.0417501933136228
2024-09-18,2024-12-18,91,0.038348536342915907,0.03853294491525443
2024-12-18,2025-03-19,91,0.03643673261614744,0.03660318646734841
2025-03-19,2025-06-18,91,0.03518621780332687,0.03534142624949255
2025-06-18,2025-09-17,91,0.03425368243775928,0.03440076164874544
2025-09-17,2025-12-17,91,0.03354322111702501,0.03368425414364657
2025-12-17,2026-03-18,91,0.03300967019693957,0.03314624624624644
2026-03-18,2026-06-17,91,0.032698440976624,0.03283245033112604
2026-06-17,2026-09-16,91,0.032553717159453655,0.032686541297935426
2026-09-16,2026-12-16,91,0.03246751681778903,0.03259963752665207
2026-12-16,2027-03-17,91,0.032436688814758696,0.03256855840927923
2027-03-17,2027-06-16,91,0.03243938987765205,0.03257128146453041
2027-06-16,2027-09-15,91,0.03262203574336375,0.03275541871921223
2027-09-15,2027-12-15,91,0.032799146093109854,0.03293398328690791
2027-12-15,2028-03-15,91,0.03300777924162723,0.033144339622641066
2028-03-15,2028-06-21,98,0.03324039985439953,0.033389698492462594
2028-06-21,2028-09-20,91,0.033481528993455356,0.033622043010752604
2028-09-20,2028-12-20,91,0.03369341369364065,0.03383571428571437
2028-12-20,2029-03-21,91,0.03390589642497055,0.03405000000000017
2029-03-21,2029-06-19,90,0.0337959261813392,0.0339375000000004
