From [,) To,BucketLength,DailyRate,BucketRate
2023-04-04,2023-05-01,27,0.0480437854047231,0.04812723003529899
2023-05-01,2023-05-04,3,0.0480437854047231,0.04805019737140093
2023-05-04,2023-06-01,28,0.04923571927676803,0.04932673297198217
2023-06-01,2023-06-15,14,0.04923571927676803,0.04927951271472355
2023-06-15,2023-07-01,16,0.048569768360100796,0.04861894561653923
2023-07-01,2023-07-27,26,0.048569768360100796,0.048651767336972664
2023-07-27,2023-08-01,5,0.04761625778191343,0.04762885560367457
2023-08-01,2023-09-01,31,0.04716453201970438,0.04725733672328386
2023-09-01,2023-09-21,20,0.04716453201970438,0.047223280090249016
2023-09-21,2023-10-01,10,0.04520379310344837,0.045229343944410694
2023-10-01,2023-11-01,31,0.045373611111111246,0.045459497574787844
2023-11-01,2023-11-02,1,0.045373611111111246,0.045373611111143575
2023-11-02,2023-12-01,29,0.04343247280929407,0.04350591173642146
2023-12-01,2023-12-14,13,0.04343247280929407,0.043463926382945564
2023-12-14,2024-01-01,18,0.04181803093199344,0.04185934639980626
2024-01-01,2024-02-01,31,0.04159729729729719,0.04166947519022969
2024-02-01,2024-03-01,29,0.03959324324324328,0.039654266820654004
2024-03-01,2024-03-20,19,0.0394854076481721,0.03952440931983279
2024-03-20,2024-04-01,12,0.037838969941676515,0.03786085214096069
2024-04-01,2024-05-01,30,0.037442857142857236,0.03749938013477738
2024-05-01,2024-06-19,49,0.034732546946205645,0.034813091962914176
2024-06-19,2024-09-18,91,0.032273795880657374,0.032404342581422926
2024-09-18,2024-12-18,91,0.029584222647409675,0.029693893129771155
2024-12-18,2025-03-19,91,0.02819429008380503,0.028293886097152766
2025-03-19,2025-06-18,91,0.0275320740369267,0.02762704126426676
2025-06-18,2025-09-17,91,0.027307380190517705,0.027400801924619324
2025-09-17,2025-12-17,91,0.027206225603810807,0.027298955722640118
2025-12-17,2026-03-18,91,0.027115806271309495,0.02720792035398222
2026-03-18,2026-06-17,91,0.027292088389812008,0.027385405405405475
2026-06-17,2026-09-16,91,0.027456331388133748,0.027550776221128004
2026-09-16,2026-12-16,91,0.027711015109286308,0.02780722222222188
2026-12-16,2027-03-17,91,0.027894711158458207,0.027992199488491028
2027-03-17,2027-06-16,91,0.028164991643091497,0.02826438053097344
2027-06-16,2027-09-15,91,0.028454627484562067,0.028556073446327553
2027-09-15,2027-12-15,91,0.028908446313558045,0.029013157894737095
2027-12-15,2028-03-15,91,0.029202950076534506,0.02930980861244008
2028-03-15,2028-06-21,98,0.029517632585864817,0.029635323383084448
2028-06-21,2028-09-20,91,0.02989257405533685,0.030004545454545277
2028-09-20,2028-12-20,91,0.030224414545143574,0.030338888888888464
2028-12-20,2029-03-21,91,0.03040415833795329,0.03051999999999984
2029-03-21,2029-06-19,90,0.031129907622782227,0.03125
