From [,) To,BucketLength,DailyRate,BucketRate
2023-03-10,2023-03-23,13,0.0455,0.04553452016186117
2023-03-23,2023-04-01,9,0.048510699588477424,0.048536855455649786
2023-04-01,2023-05-01,30,0.04885500894454381,0.04895126630169244
2023-05-01,2023-05-04,3,0.04885500894454381,0.04886163927749543
2023-05-04,2023-06-01,28,0.05155022959478154,0.051650006859328884
2023-06-01,2023-06-15,14,0.05155022959478154,0.051598238394225636
2023-06-15,2023-07-01,16,0.052690721723613734,0.052748601085196856
2023-07-01,2023-07-27,26,0.052690721723613734,0.052787234421201375
2023-07-27,2023-08-01,5,0.05210138037054222,0.05211646340791453
2023-08-01,2023-09-01,31,0.05239963768115942,0.05251420390089386
2023-09-01,2023-09-21,20,0.05239963768115942,0.052472157552124976
2023-09-21,2023-10-01,10,0.051509894943358024,0.05154307346705078
2023-10-01,2023-11-01,31,0.05168520599250939,0.05179666731242018
2023-11-01,2023-11-02,1,0.05168520599250939,0.05168520599251991
2023-11-02,2023-12-01,29,0.05034664338224699,0.05044534252083533
2023-12-01,2023-12-14,13,0.05034664338224699,0.050388911461682895
2023-12-14,2024-01-01,18,0.048935505032013556,0.048992087185353306
2024-01-01,2024-02-01,31,0.048903305785123904,0.04900308398235592
2024-02-01,2024-03-01,29,0.04720135135135152,0.04728809686366939
2024-03-01,2024-03-20,19,0.047585968594674455,0.047642621630768406
2024-03-20,2024-04-01,12,0.045232633058432226,0.045263904351013906
2024-04-01,2024-06-19,79,0.04410938015666055,0.04432082194976269
2024-06-19,2024-09-18,91,0.04026159947418506,0.0404648979591836
2024-09-18,2024-12-18,91,0.03707694378270787,0.037249307479224385
2024-12-18,2025-03-19,91,0.03499716486282445,0.03515070754716978
2025-03-19,2025-06-18,91,0.033782804355873,0.033925862068965786
2025-06-18,2025-09-17,91,0.033017378979351975,0.033154018912529344
2025-09-17,2025-12-17,91,0.03239767985541597,0.032529232039637146
2025-12-17,2026-03-18,91,0.031856661397782204,0.031983850931677105
2026-03-18,2026-06-17,91,0.03147540946064176,0.03159956896551776
2026-06-17,2026-09-16,91,0.031187896083055833,0.03130979477611979
2026-09-16,2026-12-16,91,0.030962221784047728,0.031082360515021775
2026-12-16,2027-03-17,91,0.030833579853659643,0.03095272108843552
2027-03-17,2027-06-16,91,0.03076070037712597,0.030879278350515304
2027-06-16,2027-09-15,91,0.030836930398780993,0.030956097560975324
2027-09-15,2027-12-15,91,0.031105717362267526,0.03122697368421079
2027-12-15,2028-03-15,91,0.031390100437436175,0.031513586956522004
2028-03-15,2028-06-21,98,0.031679628784253566,0.03181521739130412
2028-06-21,2028-09-20,91,0.03196425641220024,0.03209230769230799
2028-09-20,2028-12-20,91,0.032270460707239934,0.03240098039215659
2028-12-20,2029-03-21,91,0.03257088172210487,0.03270384615384585
2029-03-21,2029-06-19,90,0.03279172545852305,0.03292499999999965
