From [,) To,BucketLength,DailyRate,BucketRate
2023-02-22,2023-03-01,7,0.04545158821543308,0.04546880722902356
2023-03-01,2023-03-23,22,0.04545158821543308,0.04551189282838769
2023-03-23,2023-04-01,9,0.04888213822700903,0.04890869623415562
2023-04-01,2023-05-01,30,0.048647645477109765,0.048743086932658386
2023-05-01,2023-05-04,3,0.048647645477109765,0.04865421964378669
2023-05-04,2023-06-01,28,0.05121428671793598,0.05131276696469606
2023-06-01,2023-06-15,14,0.05121428671793598,0.05126167165119013
2023-06-15,2023-07-01,16,0.052881873217319506,0.05294017343490054
2023-07-01,2023-07-27,26,0.052881873217319506,0.05297908785618319
2023-07-27,2023-08-01,5,0.053330650834635084,0.05334645405513606
2023-08-01,2023-09-01,31,0.053544121813031184,0.05366375095013741
2023-09-01,2023-09-21,20,0.053544121813031184,0.05361984560290445
2023-09-21,2023-10-01,10,0.05361679234516044,0.05365274112592999
2023-10-01,2023-11-01,31,0.053598034934497746,0.05371790527367646
2023-11-01,2023-11-02,1,0.053598034934497746,0.05359803493448112
2023-11-02,2023-12-01,29,0.053002653967775946,0.053112048699113464
2023-12-01,2023-12-14,13,0.053002653967775946,0.05304950060868567
2023-12-14,2024-01-01,18,0.05198197213438403,0.05204582147745995
2024-01-01,2024-02-01,31,0.051938888888888785,0.05205144781685089
2024-02-01,2024-03-01,29,0.05032499999999999,0.050423614244468215
2024-03-01,2024-03-20,19,0.05021814365914423,0.050281240072228034
2024-03-20,2024-06-19,91,0.04703420719778251,0.04731180917622526
2024-06-19,2024-09-18,91,0.04254289419947099,0.042769926650366316
2024-09-18,2024-12-18,91,0.0389236538795501,0.03911364414029065
2024-12-18,2025-03-19,91,0.03664069388362279,0.036809019295450676
2025-03-19,2025-06-18,91,0.03547956105157901,0.03563737201365208
2025-06-18,2025-09-17,91,0.03475083584699945,0.03490222162740932
2025-09-17,2025-12-17,91,0.03424792054919301,0.034394950213371196
2025-12-17,2026-03-18,91,0.03386762312532099,0.03401140109890151
2026-03-18,2026-06-17,91,0.03369196264172203,0.03383425096030715
2026-06-17,2026-09-16,91,0.03360899471775092,0.033750582147477
2026-09-16,2026-12-16,91,0.033560396571523654,0.033701574264202803
2026-12-16,2027-03-17,91,0.033524878960031756,0.03366575757575782
2027-03-17,2027-06-16,91,0.03351328399176623,0.033654065040650646
2027-06-16,2027-09-15,91,0.033618096043603884,0.033759760273972296
2027-09-15,2027-12-15,91,0.033799577000106495,0.03394277699859769
2027-12-15,2028-03-15,91,0.03400327480433063,0.034148208469055696
2028-03-15,2028-06-21,98,0.03425957324208362,0.034418181818181875
2028-06-21,2028-09-20,91,0.03453563455565245,0.03468514851485176
2028-09-20,2028-12-20,91,0.03473433507968693,0.034885576923076256
2028-12-20,2029-03-21,91,0.03495681170361031,0.035110000000000176
2029-03-21,2029-06-19,90,0.03519092442266114,0.03534444444444418
