From [,) To,BucketLength,DailyRate,BucketRate
2023-04-11,2023-05-01,20,0.048052307701272653,0.04811328911321322
2023-05-01,2023-05-04,3,0.048052307701272653,0.048058721942982885
2023-05-04,2023-06-01,28,0.049890460015498246,0.04998391189484261
2023-06-01,2023-06-15,14,0.049890460015498246,0.04993542626269625
2023-06-15,2023-07-01,16,0.05009076975323926,0.050143076319130175
2023-07-01,2023-07-27,26,0.05009076975323926,0.05017798782212868
2023-07-27,2023-08-01,5,0.04902127261580698,0.04903462490705479
2023-08-01,2023-09-01,31,0.048960361010830414,0.04906037231860625
2023-09-01,2023-09-21,20,0.048960361010830414,0.04902366991187179
2023-09-21,2023-10-01,10,0.04741209420745633,0.04744020291153462
2023-10-01,2023-11-01,31,0.04753242677824275,0.04762668585840287
2023-11-01,2023-11-02,1,0.04753242677824275,0.04753242677825398
2023-11-02,2023-12-01,29,0.045845737819005715,0.045927569478505896
2023-12-01,2023-12-14,13,0.045845737819005715,0.045880784709591345
2023-12-14,2024-01-01,18,0.04429518472331063,0.04434154163460935
2024-01-01,2024-02-01,31,0.044059770114942436,0.044140751864648074
2024-02-01,2024-03-01,29,0.04211406249999996,0.04218310828377919
2024-03-01,2024-03-20,19,0.0418873601490688,0.041931252857071735
2024-03-20,2024-04-01,12,0.04058452202587901,0.040609695564617354
2024-04-01,2024-05-01,30,0.03994374999999991,0.04000807992148747
2024-05-01,2024-06-19,49,0.0372049587410217,0.03729738892773921
2024-06-19,2024-09-18,91,0.03475374175195611,0.03490515288788235
2024-09-18,2024-12-18,91,0.031970554402889206,0.032098656215005426
2024-12-18,2025-03-19,91,0.030387985403041995,0.03050370370370414
2025-03-19,2025-06-18,91,0.029639104187602072,0.029749182444061995
2025-06-18,2025-09-17,91,0.029274947323578715,0.02938233404710892
2025-09-17,2025-12-17,91,0.02897158732493743,0.029076757369614854
2025-12-17,2026-03-18,91,0.028706942681617775,0.02881019786910195
2026-03-18,2026-06-17,91,0.028680440752566483,0.02878350515463945
2026-06-17,2026-09-16,91,0.028647800342191942,0.028750630011455017
2026-09-16,2026-12-16,91,0.02873409753038736,0.02883754838709653
2026-12-16,2027-03-17,91,0.028813261603364282,0.028917283950617136
2027-03-17,2027-06-16,91,0.02900351384036881,0.029108916083916477
2027-06-16,2027-09-15,91,0.02923541756139514,0.029342514124293995
2027-09-15,2027-12-15,91,0.029598523727889514,0.02970830039525728
2027-12-15,2028-03-15,91,0.029875873134610487,0.02998771929824579
2028-03-15,2028-06-21,98,0.030134210814658502,0.030256876456876938
2028-06-21,2028-09-20,91,0.03049159834414894,0.030608108108107743
2028-09-20,2028-12-20,91,0.030761416498448213,0.03088000000000009
2028-12-20,2029-03-21,91,0.030979725224264953,0.03110000000000039
2029-03-21,2029-06-19,90,0.031030673019287747,0.031150000000000233
