From [,) To,BucketLength,DailyRate,BucketRate
2023-06-02,2023-06-15,13,0.0508,0.050843032928569
2023-06-15,2023-07-01,16,0.05140958902030302,0.051464687103116025
2023-07-01,2023-07-27,26,0.05140958902030302,0.0515014628994377
2023-07-27,2023-08-01,5,0.05384745600214798,0.053863567014644786
2023-08-01,2023-09-01,31,0.05290145405669605,0.0530182266941737
2023-09-01,2023-09-21,20,0.05290145405669605,0.05297537020139088
2023-09-21,2023-10-01,10,0.052599454091332244,0.05263405135165122
2023-10-01,2023-11-01,31,0.05256656874265559,0.05268186659621086
2023-11-01,2023-11-02,1,0.05256656874265559,0.05256656874266241
2023-11-02,2023-12-01,29,0.05144715620135787,0.0515502202081242
2023-12-01,2023-12-14,13,0.05144715620135787,0.05149129282305974
2023-12-14,2024-01-01,18,0.05006754864624184,0.05012677994621129
2024-01-01,2024-02-01,31,0.05013017241379316,0.05023502325761416
2024-02-01,2024-03-01,29,0.04833346456692908,0.0484244236980379
2024-03-01,2024-03-20,19,0.04832668648641736,0.048385117640601966
2024-03-20,2024-04-01,12,0.04619447885264638,0.046227094507773625
2024-04-01,2024-05-01,30,0.04610370370370376,0.04618941861398351
2024-05-01,2024-06-01,31,0.04390714285714282,0.043987564191812364
2024-06-01,2024-06-19,18,0.043481953282604735,0.043526623114096274
2024-06-19,2024-07-01,12,0.04130424398913631,0.04133031846873969
2024-07-01,2024-09-18,79,0.0401885048901196,0.040363978189798554
2024-09-18,2024-12-18,91,0.03652426253018426,0.036691518275538945
2024-12-18,2025-03-19,91,0.03379580198892285,0.03393896995708137
2025-03-19,2025-06-18,91,0.03223962245456846,0.03236989247311842
2025-06-18,2025-09-17,91,0.03157706969343366,0.03170203357004547
2025-09-17,2025-12-17,91,0.031370447064427154,0.03149377880184331
2025-12-17,2026-03-18,91,0.031202662551503835,0.03132467685076405
2026-03-18,2026-06-17,91,0.031184863013820063,0.03130673796791455
2026-06-17,2026-09-16,91,0.03127331580203396,0.03139588400374161
2026-09-16,2026-12-16,91,0.03140773750020642,0.03153136300417212
2026-12-16,2027-03-17,91,0.03157298036287948,0.03169791183294703
2027-03-17,2027-06-16,91,0.03178518356405036,0.031911802232854676
2027-06-16,2027-09-15,91,0.03202129934393838,0.03214980867346958
2027-09-15,2027-12-15,91,0.032340380027573445,0.03247146666666689
2027-12-15,2028-03-15,91,0.0327667602774806,0.03290133096716933
2028-03-15,2028-06-21,98,0.03319217962339138,0.033341044776119474
2028-06-21,2028-09-20,91,0.03353404423824813,0.03367500000000002
2028-09-20,2028-12-20,91,0.033929380665762565,0.034073684210526145
2028-12-20,2029-03-21,91,0.03420335328939039,0.03434999999999994
2029-03-21,2029-06-19,90,0.034502436547629856,0.03465000000000007
