From [,) To,BucketLength,DailyRate,BucketRate
2023-03-22,2023-03-23,1,0.045523809523809515,0.045523809523810854
2023-03-23,2023-04-01,9,0.047972433436474046,0.047998011992911316
2023-04-01,2023-05-01,30,0.04800120452550459,0.04809412478022868
2023-05-01,2023-05-04,3,0.04800120452550459,0.04800760513118618
2023-05-04,2023-06-01,28,0.04923151310055869,0.04932251123673506
2023-06-01,2023-06-15,14,0.04923151310055869,0.049275299054297256
2023-06-15,2023-07-01,16,0.04808798081229205,0.04813618697943833
2023-07-01,2023-07-27,26,0.04808798081229205,0.048168360219821724
2023-07-27,2023-08-01,5,0.04683028458620773,0.0468424699242842
2023-08-01,2023-09-01,31,0.046186000000000005,0.04627499143578987
2023-09-01,2023-09-21,20,0.046186000000000005,0.046242334723385785
2023-09-21,2023-10-01,10,0.044802999999999725,0.044828099689077305
2023-10-01,2023-11-01,31,0.044883333333333296,0.04496737265101569
2023-11-01,2023-11-02,1,0.044883333333333296,0.04488333333332761
2023-11-02,2023-12-01,29,0.04344330334832568,0.04351677892611579
2023-12-01,2023-12-14,13,0.04344330334832568,0.04347477261424328
2023-12-14,2024-01-01,18,0.04208454661558116,0.042126390552290616
2024-01-01,2024-02-01,31,0.04180999999999997,0.04188291834245853
2024-02-01,2024-03-01,29,0.04000416666666666,0.04006646413914426
2024-03-01,2024-03-20,19,0.039973692807517835,0.04001366535715864
2024-03-20,2024-04-01,12,0.0387715141658746,0.03879448843117306
2024-04-01,2024-06-19,79,0.0364734177052739,0.03661791013055025
2024-06-19,2024-09-18,91,0.03317224789000761,0.0333101744186042
2024-09-18,2024-12-18,91,0.030815075976429185,0.030934074074073902
2024-12-18,2025-03-19,91,0.029841159021106733,0.029952745098039094
2025-03-19,2025-06-18,91,0.029534281009864216,0.0296435810810813
2025-06-18,2025-09-17,91,0.02953460776376815,0.029643910256410052
2025-09-17,2025-12-17,91,0.029644910007986525,0.02975503144654083
2025-12-17,2026-03-18,91,0.029623512246264028,0.029733474576271336
2026-03-18,2026-06-17,91,0.029804477891053338,0.02991578947368412
2026-06-17,2026-09-16,91,0.02988689472577022,0.029998823529412008
2026-09-16,2026-12-16,91,0.029994485098301382,0.03010722222222245
2026-12-16,2027-03-17,91,0.029964455075353058,0.03007696629213498
2027-03-17,2027-06-16,91,0.03004352001834576,0.030156626506023992
2027-06-16,2027-09-15,91,0.030222030225681706,0.030336486486486618
2027-09-15,2027-12-15,91,0.030645467785657132,0.03076315789473692
2027-12-15,2028-03-15,91,0.03094049514739794,0.031060465116279332
2028-03-15,2028-06-21,98,0.03099831360134253,0.031128124999999778
2028-06-21,2028-09-20,91,0.03123542134470192,0.031357692307692406
2028-09-20,2028-12-20,91,0.03147583711679225,0.03159999999999971
2028-12-20,2029-03-21,91,0.03172386999255039,0.031849999999999816
2029-03-21,2029-06-19,90,0.03166573242091353,0.031789999999999985
