From [,) To,BucketLength,DailyRate,BucketRate
2023-02-23,2023-03-01,6,0.04547609699280012,0.045490461046631125
2023-03-01,2023-03-23,22,0.04547609699280012,0.045536466686554214
2023-03-23,2023-04-01,9,0.04881455063523981,0.04884103523994376
2023-04-01,2023-05-01,30,0.048649980354228434,0.04874543097738737
2023-05-01,2023-05-04,3,0.048649980354228434,0.04865655515205347
2023-05-04,2023-06-01,28,0.05121147832802426,0.0513099477679543
2023-06-01,2023-06-15,14,0.05121147832802426,0.051258858063204675
2023-06-15,2023-07-01,16,0.052725787929047974,0.05278374438123512
2023-07-01,2023-07-27,26,0.052725787929047974,0.05282242920509477
2023-07-27,2023-08-01,5,0.052878226607032675,0.05289376281585767
2023-08-01,2023-09-01,31,0.05324211977935391,0.05336040228680301
2023-09-01,2023-09-21,20,0.05324211977935391,0.05331699139958879
2023-09-21,2023-10-01,10,0.053394530742916536,0.05343018204052896
2023-10-01,2023-11-01,31,0.05336999999999989,0.05348885179470283
2023-11-01,2023-11-02,1,0.05336999999999989,0.0533700000000259
2023-11-02,2023-12-01,29,0.05279818073721762,0.05290673249706805
2023-12-01,2023-12-14,13,0.05279818073721762,0.05284466652924608
2023-12-14,2024-01-01,18,0.051886723268734766,0.05195033874841659
2024-01-01,2024-02-01,31,0.05181666666666672,0.05192869610433497
2024-02-01,2024-03-01,29,0.05027777777777771,0.050376206924332485
2024-03-01,2024-03-20,19,0.05033707022949585,0.05040046596494023
2024-03-20,2024-06-19,91,0.0471708251192382,0.04745004526252264
2024-06-19,2024-09-18,91,0.042591703572414374,0.04281925818667807
2024-09-18,2024-12-18,91,0.038649042532608036,0.03883635719347945
2024-12-18,2025-03-19,91,0.0360404301843964,0.03620327754532787
2025-03-19,2025-06-18,91,0.034766488741659884,0.0349180111265645
2025-06-18,2025-09-17,91,0.03410657800816175,0.03425239488117046
2025-09-17,2025-12-17,91,0.03364978218787229,0.033791713961407226
2025-12-17,2026-03-18,91,0.03330743558640492,0.03344649014778342
2026-03-18,2026-06-17,91,0.03311595951588586,0.03325341772151874
2026-06-17,2026-09-16,91,0.03298179940638413,0.03311814461118705
2026-09-16,2026-12-16,91,0.03290262429367807,0.03303831478537353
2026-12-16,2027-03-17,91,0.03283665505536604,0.0329718012422361
2027-03-17,2027-06-16,91,0.03276492519259655,0.03289948078920069
2027-06-16,2027-09-15,91,0.03285518727456527,0.03299048625792815
2027-09-15,2027-12-15,91,0.03307091598426126,0.033208000000000126
2027-12-15,2028-03-15,91,0.03332921347325879,0.0334684501845017
2028-03-15,2028-06-21,98,0.03358217865677915,0.03373456790123425
2028-06-21,2028-09-20,91,0.03387386128954617,0.03401769230769235
2028-09-20,2028-12-20,91,0.034142762018269934,0.03428888888888865
2028-12-20,2029-03-21,91,0.03441330952474786,0.03456176470588239
2029-03-21,2029-06-19,90,0.03462411965665879,0.03477272727272762
