From [,) To,BucketLength,DailyRate,BucketRate
2023-04-05,2023-05-01,26,0.04800549241783167,0.04808559615502323
2023-05-01,2023-05-04,3,0.04800549241783167,0.04801189416705931
2023-05-04,2023-06-01,28,0.04923487983898596,0.049325890428998216
2023-06-01,2023-06-15,14,0.04923487983898596,0.04927867178330761
2023-06-15,2023-07-01,16,0.048680502308375014,0.048729904129252155
2023-07-01,2023-07-27,26,0.048680502308375014,0.04876287581227908
2023-07-27,2023-08-01,5,0.04710651362459153,0.047118843146895635
2023-08-01,2023-09-01,31,0.046901574803149514,0.04699334691183551
2023-09-01,2023-09-21,20,0.046901574803149514,0.046959669366899
2023-09-21,2023-10-01,10,0.04462865367238962,0.044653558363596524
2023-10-01,2023-11-01,31,0.044813524590163925,0.044897302534950154
2023-11-01,2023-11-02,1,0.044813524590163925,0.04481352459014154
2023-11-02,2023-12-01,29,0.04277789020121963,0.04284913100706609
2023-12-01,2023-12-14,13,0.04277789020121963,0.0428084026251901
2023-12-14,2024-01-01,18,0.04116460823430421,0.041204642261818414
2024-01-01,2024-02-01,31,0.04094215686274509,0.04101207788401463
2024-02-01,2024-03-01,29,0.038994594594594645,0.0390537858872356
2024-03-01,2024-03-20,19,0.03915492281906907,0.039193274151326375
2024-03-20,2024-04-01,12,0.03681040729086003,0.036831115830180394
2024-04-01,2024-05-01,30,0.03681666666666658,0.03687131401050614
2024-05-01,2024-06-19,49,0.03444592914727096,0.03452514932276806
2024-06-19,2024-09-18,91,0.03182341627784524,0.03195034013605473
2024-09-18,2024-12-18,91,0.029179775695800103,0.029286464497041552
2024-12-18,2025-03-19,91,0.027769823857877185,0.02786644021739136
2025-03-19,2025-06-18,91,0.02716494486993959,0.027257393483709636
2025-06-18,2025-09-17,91,0.02706636704299825,0.02715814516129026
2025-09-17,2025-12-17,91,0.027063923826888825,0.027155685358255598
2025-12-17,2026-03-18,91,0.0270906016509187,0.027182544378698065
2026-03-18,2026-06-17,91,0.027309034042053426,0.027402467105263242
2026-06-17,2026-09-16,91,0.027501653944721483,0.027596411192214405
2026-09-16,2026-12-16,91,0.027759165074980885,0.027855707196030016
2026-12-16,2027-03-17,91,0.027922736699945716,0.02802042124542155
2027-03-17,2027-06-16,91,0.02818733588498823,0.028286882716049587
2027-06-16,2027-09-15,91,0.028435890136009334,0.028537202380952587
2027-09-15,2027-12-15,91,0.02880335087264818,0.028907301587301402
2027-12-15,2028-03-15,91,0.029038210857628144,0.02914386574074046
2028-03-15,2028-06-21,98,0.029240577936562318,0.029356066945606493
2028-06-21,2028-09-20,91,0.029599192723068768,0.029708974358974637
2028-09-20,2028-12-20,91,0.029871519802515678,0.029983333333333213
2028-12-20,2029-03-21,91,0.030136193777972053,0.03024999999999987
2029-03-21,2029-06-19,90,0.030211894642668824,0.030325000000000383
