From [,) To,BucketLength,DailyRate,BucketRate
2023-02-13,2023-03-01,16,0.045552471644165045,0.045595726924800295
2023-03-01,2023-03-23,22,0.045552471644165045,0.045613044369221936
2023-03-23,2023-04-01,9,0.04822899680601971,0.04825484973251193
2023-04-01,2023-05-01,30,0.04820104702839771,0.04829474308565285
2023-05-01,2023-05-04,3,0.04820104702839771,0.04820750104122418
2023-05-04,2023-06-01,28,0.05018601304989702,0.050280576107266974
2023-06-01,2023-06-15,14,0.05018601304989702,0.05023151378826236
2023-06-15,2023-07-01,16,0.05151107354529452,0.051566389447067484
2023-07-01,2023-07-27,26,0.05151107354529452,0.05160331071572603
2023-07-27,2023-08-01,5,0.051791464398561436,0.051806368519203616
2023-08-01,2023-09-01,31,0.05187995558023331,0.05199225904165371
2023-09-01,2023-09-21,20,0.05187995558023331,0.051951043512660895
2023-09-21,2023-10-01,10,0.05162878746967041,0.051662119361520986
2023-10-01,2023-11-01,31,0.051694792259533245,0.051806294958331646
2023-11-01,2023-11-02,1,0.051694792259533245,0.05169479225950013
2023-11-02,2023-12-01,29,0.05082028145813516,0.05092084755547359
2023-12-01,2023-12-14,13,0.05082028145813516,0.050863348763484896
2023-12-14,2024-01-01,18,0.04938107877596201,0.049438696398786945
2024-01-01,2024-02-01,31,0.04939117647058822,0.049492956753106575
2024-02-01,2024-03-01,29,0.04742999999999995,0.047517588458795314
2024-03-01,2024-03-20,19,0.04743365119390219,0.047489941995341234
2024-03-20,2024-06-19,91,0.04389667458062796,0.04413841298467126
2024-06-19,2024-09-18,91,0.03926519702923237,0.0394585415813187
2024-09-18,2024-12-18,91,0.0357919870161183,0.03595259365994252
2024-12-18,2025-03-19,91,0.03389632273321119,0.0340403448275865
2025-03-19,2025-06-18,91,0.03271793829702219,0.032852107728337576
2025-06-18,2025-09-17,91,0.031921607874938474,0.032049317226890986
2025-09-17,2025-12-17,91,0.031360839871465984,0.031484095982142975
2025-12-17,2026-03-18,91,0.030993431178476527,0.03111381253707757
2026-03-18,2026-06-17,91,0.03087400950104957,0.030993463780183354
2026-06-17,2026-09-16,91,0.0308981321817825,0.031017773437499955
2026-09-16,2026-12-16,91,0.030955854138436933,0.03107594339622675
2026-12-16,2027-03-17,91,0.031021951999381514,0.03114255529877885
2027-03-17,2027-06-16,91,0.031140315545066244,0.03126184210526326
2027-06-16,2027-09-15,91,0.03132979816482084,0.03145281007751907
2027-09-15,2027-12-15,91,0.03151766796725575,0.031642161520190414
2027-12-15,2028-03-15,91,0.03169720052879299,0.03182311827956952
2028-03-15,2028-06-21,98,0.0319390534461661,0.03207687500000005
2028-06-21,2028-09-20,91,0.03219863289042557,0.03232857142857108
2028-09-20,2028-12-20,91,0.03236041732419537,0.03249166666666662
2028-12-20,2029-03-21,91,0.03271584773721692,0.03285000000000021
2029-03-21,2029-06-19,90,0.033287658205392034,0.03342500000000026
