From [,) To,BucketLength,DailyRate,BucketRate
2023-06-14,2023-06-15,1,0.050576923076923075,0.0505769230769193
2023-06-15,2023-07-01,16,0.05061219193514524,0.05066559350518418
2023-07-01,2023-07-27,26,0.05061219193514524,0.05070123628817655
2023-07-27,2023-08-01,5,0.052805223535400715,0.052820716872435725
2023-08-01,2023-09-01,31,0.05230224383667178,0.052416384271052475
2023-09-01,2023-09-21,20,0.05230224383667178,0.052374494259308076
2023-09-21,2023-10-01,10,0.05296772576539155,0.05300280927832546
2023-10-01,2023-11-01,31,0.052709811320754626,0.05282573884415317
2023-11-01,2023-11-02,1,0.052709811320754626,0.05270981132078134
2023-11-02,2023-12-01,29,0.05259409356101395,0.05270180719647455
2023-12-01,2023-12-14,13,0.05259409356101395,0.05264022057743499
2023-12-14,2024-01-01,18,0.052146467781692164,0.05221072202002741
2024-01-01,2024-02-01,31,0.052140151515151556,0.05225358507586456
2024-02-01,2024-03-01,29,0.051048188405797106,0.05114965909486365
2024-03-01,2024-03-20,19,0.05128466190566172,0.05135046792918892
2024-03-20,2024-04-01,12,0.049029935033549986,0.049066678489471105
2024-04-01,2024-05-01,30,0.04953099999999978,0.04962994128517906
2024-05-01,2024-06-01,31,0.047703571428571366,0.04779851094332447
2024-06-01,2024-06-19,18,0.04778275731151638,0.04783670418962771
2024-06-19,2024-07-01,12,0.0444708640327253,0.044501090692967704
2024-07-01,2024-09-18,79,0.044185548320356816,0.04439772213411367
2024-09-18,2024-12-18,91,0.04015693997319936,0.04035918114143891
2024-12-18,2025-03-19,91,0.037129291362258954,0.03730214285714244
2025-03-19,2025-06-18,91,0.03521772927308042,0.03537321624588345
2025-06-18,2025-09-17,91,0.03420219815987835,0.034348834951456145
2025-09-17,2025-12-17,91,0.03356580035246637,0.033707023575638304
2025-12-17,2026-03-18,91,0.033047862433353004,0.03318475513428085
2026-03-18,2026-06-17,91,0.03270100081920191,0.03283503118503114
2026-06-17,2026-09-16,91,0.03244427228588975,0.03257620363062314
2026-09-16,2026-12-16,91,0.03236951735036797,0.032500840618695424
2026-12-16,2027-03-17,91,0.032381580308840086,0.032513001605136586
2027-03-17,2027-06-16,91,0.032469419883094375,0.032601556101556295
2027-06-16,2027-09-15,91,0.03259830635890637,0.032731495098039354
2027-09-15,2027-12-15,91,0.03281135136246505,0.03294628906250028
2027-12-15,2028-03-15,91,0.033117601621217574,0.03325507347795707
2028-03-15,2028-06-21,98,0.033374189203758675,0.033524693877550985
2028-06-21,2028-09-20,91,0.033657172456669215,0.0337991666666663
2028-09-20,2028-12-20,91,0.033863788871686396,0.034007534246575696
2028-12-20,2029-03-21,91,0.034085612591958636,0.03423124999999962
2029-03-21,2029-06-19,90,0.0335524613926097,0.03369199999999939
